Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DPM0526 (20262NO) - Direito Penal Econômico (Período ideal: 10);2;qui 18:20 19:55 | qui 18:20 19:55;Jéssica Raquel Sponchiado / (R) Renato de Mello Jorge Silveira;48;78;-30
DPM0528 (20262DI) - Temas Fundamentais do Direito Penal II (Período ideal: 10);2;qui 11:15 12:50 | qui 11:15 12:50 | qui 11:15 12:50;Leandro Sarcedo / Jéssica Raquel Sponchiado / Alamiro Velludo Salvador Netto;15;16;-1
DPM0528 (20262NO) - Temas Fundamentais do Direito Penal II (Período ideal: 10);2;qui 20:00 21:35 | qui 20:00 21:35 | qui 20:00 21:35;Leandro Sarcedo / Jéssica Raquel Sponchiado / Alamiro Velludo Salvador Netto;53;64;-11
DTB0101 (20262NO) - História do Direito do Trabalho no Brasil (Período ideal: 2);2;sex 20:00 21:35;(R) Jorge Luiz Souto Maior;96;180;-84
DTB0438 (20262DI) - Direito Processual do Trabalho: Processo de Conhecimento Trabalhista (Período ideal: 8);2;sex 09:15 11:00;Enoque Ribeiro dos Santos;4;14;-10
DTB0442 (20262DI) - Relações Coletivas de Trabalho no Contexto da Globalização (Período ideal: 8);2;sex 07:25 09:00;Enoque Ribeiro dos Santos;12;12;0
DTB0456 (20262DI) - Ler O Capital à luz da forma jurídica (Livro III) (Período ideal: 8);2;qui 11:15 12:50 | qui 11:15 12:50 | qui 11:15 12:50 | qui 11:15 12:50;Regiane de Moura Macedo / Pablo Biondi / Julia Lenzi Silva / (R) Marcus Orione Goncalves Correia;24;13;11
DTB0456 (20262NO) - Ler O Capital à luz da forma jurídica (Livro III) (Período ideal: 8);2;qui 20:00 21:35 | qui 20:00 21:35 | qui 20:00 21:35 | qui 20:00 21:35;Pablo Biondi / Lawrence Estivalet de Mello / Julia Lenzi Silva / Flávio Roberto Batista;96;44;52
DTB0458 (20262TA) - Teoria Geral do Direito: Crítica a partir do trabalho e da produção II (Período ideal: 8);2;qui 15:30 17:05 | qui 15:30 17:05 | qui 15:30 17:05 | qui 15:30 17:05;Regiane de Moura Macedo / Pablo Biondi / Marcus Orione Goncalves Correia / Lawrence Estivalet de Mello;120;27;93
DTB0532 (20262DI) - Direito Processual do Trabalho: Execução Trabalhista (Período ideal: 10);2;qua 11:15 12:50;(R) Otavio Pinto e Silva;4;12;-8
